Mj_hon	Mj_strat	Mj_ossChoose0	Mj_ossChoose1	Mj_probChoose2	Mj_probChoose3	Mj_probChoose4	Mj_probChoose5	Mj_probChoose6	Mj_reluctantStrat7	Mj_probChoose8	Mj_strat_push	Mj_ossChoose0_push	Mj_ossChoose1_push	Mj_probChoose2_push	Mj_probChoose3_push	Mj_probChoose4_push	Mj_probChoose5_push	Mj_probChoose6_push	Mj_reluctantStrat7_push	Mj_probChoose8_push	Score_hon	Score_strat	Score_ossChoose0	Score_ossChoose1	Score_probChoose2	Score_probChoose3	Score_probChoose4	Score_strat_push	Score_ossChoose0_push	Score_ossChoose1_push	Score_probChoose2_push	Score_probChoose3_push	Score_probChoose4_push	Irv_hon	Irv_strat	Irv_ossChoose0	Irv_ossChoose1	Irv_probChoose2	Irv_probChoose3	Irv_probChoose4	Irv_strat_push	Irv_ossChoose0_push	Irv_ossChoose1_push	Irv_probChoose2_push	Irv_probChoose3_push	Irv_probChoose4_push	type_hon	type_strat	type_ossChoose0	type_ossChoose1	type_probChoose2	type_probChoose3	type_probChoose4	type_strat_push	type_ossChoose0_push	type_ossChoose1_push	type_probChoose2_push	type_probChoose3_push	type_probChoose4_push
1.0	1.0	-0.2808194615587168	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	1	0	0	0	0	0	0	0	0	1.0	1.0	-0.22192006253310928	1.0	1.0	1.0	1.0	0	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	0.05004271297392936	0.5751640749756232	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1	1	0	0	0	0	0	0	0	0	1.0	1.0	0.5751640749756232	1.0	1.0	1.0	1.0	0	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	0.2964742168402466	0.6206756773895161	0.6206756773895161	1.0	0.6206756773895161	0.6206756773895161	0.6206756773895161	0.6206756773895161	0.6206756773895161	0.6206756773895161	1	1	1	0	1	1	1	1	1	1	1.0	1.0	0.2964742168402466	0.2964742168402466	1.0	1.0	1.0	0	1	1	0	0	0	0.6206756773895161	0.6206756773895161	0.6206756773895161	0.2964742168402466	0.2964742168402466	0.2964742168402466	0.6206756773895161	0	0	1	1	1	0	0.6206756773895161	0.6206756773895161	0.6206756773895161	0.6206756773895161	0.6206756773895161	0.6206756773895161	0.6206756773895161	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.5264329540031971	1.0	1.0	1.0	1.0	0	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0	0	0	0	0	0	0	0	0	0	0.7388534595212679	0.7388534595212679	1.0	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0	1	0	0	0	0	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0	0	0	0	0	0	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0.7388534595212679	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.646079649422826	0.646079649422826	1.0	1.0	1.0	0	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0	0	0	0	0	0	0	0	0	0	1.0	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	1	1	1	1	1	1	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0	0	0	0	0	0	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0.19051380647524815	0	0	0	0	0	0
1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0.5246281125304699	1.0	1.0	1.0	1.0	0	1	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0	0	0	0	0	0
